ticker;name;sector;sub_industry
PGR;Progressive Corporation;Financial Services;Insurance—Property & Casualty
PLD;Prologis;Real Estate;REIT—Industrial
PRU;Prudential Financial;Financial Services;Insurance—Life
PEG;Public Service Enterprise Group;Utilities;Utilities—Regulated Electric
PTC;PTC;Technology;Software—Application
PSA;Public Storage;Real Estate;REIT—Industrial
PHM;PulteGroup;Consumer Cyclical;Residential Construction
QRVO;Qorvo;Technology;Semiconductors
PWR;Quanta Services;Industrials;Engineering & Construction
QCOM;Qualcomm;Technology;Semiconductors
DGX;Quest Diagnostics;Healthcare;Diagnostics & Research
RL;Ralph Lauren Corporation;Consumer Cyclical;Apparel Manufacturing
RJF;Raymond James;Financial Services;Capital Markets
RTX;Raytheon Technologies;Industrials;Aerospace & Defense
O;Realty Income;Real Estate;REIT—Retail
REG;Regency Centers;Real Estate;REIT—Retail
REGN;Regeneron;Healthcare;Biotechnology
RF;Regions Financial Corporation;Financial Services;Banks—Regional
RSG;Republic Services;Industrials;Waste Management
RMD;ResMed;Healthcare;Medical Instruments & Supplies
RHI;Robert Half;Industrials;Staffing & Employment Services
ROK;Rockwell Automation;Industrials;Specialty Industrial Machinery
ROL;Rollins, Inc.;Consumer Cyclical;Personal Services
ROP;Roper Technologies;Industrials;Specialty Industrial Machinery
ROST;Ross Stores;Consumer Cyclical;Apparel Retail
RCL;Royal Caribbean Group;Consumer Cyclical;Travel Services
SPGI;S&P Global;Financial Services;Financial Data & Stock Exchanges
CRM;Salesforce;Technology;Software—Application
SBAC;SBA Communications;Real Estate;REIT—Specialty
SLB;Schlumberger;Energy;Oil & Gas Equipment & Services
STX;Seagate Technology;Technology;Computer Hardware
SEE;Sealed Air;Consumer Cyclical;Packaging & Containers
SRE;Sempra Energy;Utilities;Utilities—Diversified
NOW;ServiceNow;Technology;Software—Application
SHW;Sherwin-Williams;Basic Materials;Specialty Chemicals
SBNY;Signature Bank;Financial Services;Banks—Regional
SPG;Simon Property Group;Real Estate;REIT—Retail
SWKS;Skyworks Solutions;Technology;Semiconductors
SJM;The J.M. Smucker Company;Consumer Defensive;Packaged Foods
SNA;Snap-on;Industrials;Tools & Accessories
SEDG;SolarEdge;Technology;Solar
SO;Southern Company;Utilities;Utilities—Regulated Electric
LUV;Southwest Airlines;Industrials;Airlines
SWK;Stanley Black & Decker;Industrials;Tools & Accessories
SBUX;Starbucks;Consumer Cyclical;Restaurants
STT;State Street Corporation;Financial Services;Asset Management
STE;Steris;Healthcare;Medical Devices
SYK;Stryker Corporation;Healthcare;Medical Devices
SIVB;SVB Financial;Financial Services;Banks—Regional
SYF;Synchrony Financial;Financial Services;Credit Services
SNPS;Synopsys;Technology;Software—Infrastructure
SYY;Sysco;Consumer Defensive;Food Distribution
TMUS;T-Mobile US;Communication Services;Telecom Services
TROW;T. Rowe Price;Financial Services;Asset Management
TTWO;Take-Two Interactive;Communication Services;Electronic Gaming & Multimedia
TPR;Tapestry, Inc.;Consumer Cyclical;Luxury Goods
TRGP;Targa Resources;Energy;Oil & Gas Midstream
TGT;Target Corporation;Consumer Defensive;Discount Stores
TEL;TE Connectivity;Technology;Electronic Components
TDY;Teledyne Technologies;Technology;Scientific & Technical Instruments
TFX;Teleflex;Healthcare;Medical Instruments & Supplies
TER;Teradyne;Technology;Semiconductor Equipment & Materials
TSLA;Tesla, Inc.;Consumer Cyclical;Auto Manufacturers
TXN;Texas Instruments;Technology;Semiconductors
TXT;Textron;Industrials;Aerospace & Defense
TMO;Thermo Fisher Scientific;Healthcare;Diagnostics & Research
TJX;TJX Companies;Consumer Cyclical;Apparel Retail
TSCO;Tractor Supply;Consumer Cyclical;Specialty Retail
TT;Trane Technologies;Industrials;Building Products & Equipment
TDG;TransDigm Group;Industrials;Aerospace & Defense
TRV;The Travelers Companies;Financial Services;Insurance—Property & Casualty
TRMB;Trimble Inc.;Technology;Scientific & Technical Instruments
TFC;Truist;Financial Services;Banks—Regional
TYL;Tyler Technologies;Technology;Software—Application
TSN;Tyson Foods;Consumer Defensive;Farm Products
USB;U.S. Bank;Financial Services;Banks—Regional
UDR;UDR, Inc.;Real Estate;REIT—Residential
ULTA;Ulta Beauty;Consumer Cyclical;Specialty Retail
UNP;Union Pacific Corporation;Industrials;Railroads
UAL;United Airlines Holdings;Industrials;Airlines
UPS;United Parcel Service;Industrials;Integrated Freight & Logistics
URI;United Rentals;Industrials;Rental & Leasing Services
UNH;UnitedHealth Group;Healthcare;Healthcare Plans
UHS;Universal Health Services;Healthcare;Medical Care Facilities
VLO;Valero Energy;Energy;Oil & Gas Refining & Marketing
VTR;Ventas;Real Estate;REIT—Healthcare Facilities
VRSN;Verisign;Technology;Software—Infrastructure
VRSK;Verisk;Industrials;Consulting Services
VZ;Verizon;Communication Services;Telecom Services
VRTX;Vertex Pharmaceuticals;Healthcare;Biotechnology
VFC;VF Corporation;Consumer Cyclical;Apparel Manufacturing
VTRS;Viatris;Healthcare;
VICI;Vici Properties;Real Estate;REIT—Diversified
V;Visa Inc.;Financial Services;Credit Services
VNO;Vornado Realty Trust;Real Estate;REIT—Office
VMC;Vulcan Materials Company;Basic Materials;Building Materials
WAB;Wabtec;Industrials;Railroads
WBA;Walgreens Boots Alliance;Healthcare;Pharmaceutical Retailers
WMT;Walmart;Consumer Defensive;Discount Stores
WBD;Warner Bros. Discovery;Communication Services;Entertainment
WM;Waste Management;Industrials;Waste Management
WAT;Waters Corporation;Healthcare;Diagnostics & Research
WEC;WEC Energy Group;Utilities;Utilities—Regulated Electric
WFC;Wells Fargo;Financial Services;Banks—Diversified
WELL;Welltower;Real Estate;REIT—Healthcare Facilities
WST;West Pharmaceutical Services;Healthcare;Medical Instruments & Supplies
WDC;Western Digital;Technology;Computer Hardware
WRK;WestRock;Consumer Cyclical;Packaging & Containers
WY;Weyerhaeuser;Real Estate;REIT—Specialty
WHR;Whirlpool Corporation;Consumer Cyclical;Furnishings, Fixtures & Appliances
WMB;Williams Companies;Energy;Oil & Gas Midstream
WTW;Willis Towers Watson;Financial Services;Insurance Brokers
GWW;W. W. Grainger;Industrials;Industrial Distribution
WYNN;Wynn Resorts;Consumer Cyclical;Resorts & Casinos
XEL;Xcel Energy;Utilities;Utilities—Regulated Electric
XYL;Xylem Inc.;Industrials;Specialty Industrial Machinery
YUM;Yum! Brands;Consumer Cyclical;Restaurants
ZBRA;Zebra Technologies;Technology;Communication Equipment
ZBH;Zimmer Biomet;Healthcare;Medical Devices
ZION;Zions Bancorporation;Financial Services;Banks—Regional
ZTS;Zoetis;Healthcare;Drug Manufacturers—Specialty & Generic
ABNB;Airbnb;Consumer Cyclical;Travel Services
ASML;ASML Holding;Technology;Semiconductor Equipment & Materials
AZN;AstraZeneca;Healthcare;Drug Manufacturers—General
TEAM;Atlassian;Technology;Software—Application
BIDU;Baidu;Communication Services;Internet Content & Information
CRWD;CrowdStrike;Technology;Software—Infrastructure
DDOG;Datadog;Technology;Software—Application
DOCU;DocuSign;Technology;Software—Application
JD;JD.com;Consumer Cyclical;Internet Retail
LCID;Lucid Motors;Consumer Cyclical;Auto Manufacturers
LULU;Lululemon;Consumer Cyclical;Apparel Retail
MRVL;Marvell Technology;Technology;Semiconductors
MELI;MercadoLibre;Consumer Cyclical;Internet Retail
NTES;NetEase;Communication Services;Electronic Gaming & Multimedia
PANW;Palo Alto Networks;Technology;Software—Infrastructure
PDD;Pinduoduo;Consumer Cyclical;Internet Retail
SGEN;Seagen;Healthcare;Biotechnology
SIRI;Sirius XM;Communication Services;Entertainment
SPLK;Splunk;Technology;Software—Infrastructure
WDAY;Workday, Inc.;Technology;Software—Application
ZM;Zoom Video Communications;Technology;Software—Application
ZS;Zscaler;Technology;Software—Infrastructure
